 ,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,80.92,77,75,11.5,broken clouds
1,Inuvik,CA,68.3499,-133.7218,74.16,50,75,5.75,broken clouds
2,Albany,US,42.6001,-73.9662,93.09,60,93,1.01,overcast clouds
3,East London,ZA,-33.0153,27.9116,61.74,63,0,14.97,clear sky
4,Hilo,US,19.7297,-155.09,77.61,76,20,6.91,few clouds
5,Floro,NO,61.5996,5.0328,69.22,71,75,6.91,broken clouds
6,Joshimath,IN,30.5667,79.5667,71.38,84,88,1.21,overcast clouds
7,Punta Arenas,CL,-53.15,-70.9167,48.31,71,0,14.97,clear sky
8,Qaqortoq,GL,60.7167,-46.0333,50.5,98,100,2.8,overcast clouds
9,Bluff,NZ,-46.6,168.3333,41.81,55,54,20.8,broken clouds
10,Lasem,ID,-6.6922,111.4527,77.63,86,66,5.77,broken clouds
11,Manggar,ID,-2.8833,108.2667,80.17,77,100,4.79,moderate rain
12,Grand Gaube,MU,-20.0064,57.6608,73.38,73,4,5.99,clear sky
13,Qasigiannguit,GL,68.8193,-51.1922,39.45,91,100,4.25,overcast clouds
14,New Norfolk,AU,-42.7826,147.0587,38.91,88,1,2.71,clear sky
15,Itarema,BR,-2.9248,-39.9167,85.5,56,5,12.8,clear sky
16,Nemuro,JP,43.3236,145.575,53.92,94,100,5.35,light rain
17,Port Alfred,ZA,-33.5906,26.891,59.61,75,5,17.92,clear sky
18,Saskylakh,RU,71.9167,114.0833,41.38,71,100,10.47,overcast clouds
19,Ushuaia,AR,-54.8,-68.3,44.26,81,40,20.71,scattered clouds
20,Carnarvon,AU,-24.8667,113.6333,53.67,64,40,5.75,scattered clouds
21,Benjamin Hill,MX,30.1667,-111.1,93.16,23,6,9.73,clear sky
22,Port Elizabeth,ZA,-33.918,25.5701,59.29,77,40,24.16,scattered clouds
23,Busselton,AU,-33.65,115.3333,53.1,81,85,19.57,light rain
24,Nazilli,TR,37.9163,28.3223,96.1,39,2,7.76,clear sky
25,Butaritari,KI,3.0707,172.7902,82.04,78,99,13.69,light rain
26,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,54,0,10.36,clear sky
27,Mataura,NZ,-46.1927,168.8643,41.49,73,96,7.34,overcast clouds
28,Provideniya,RU,64.3833,-173.3,47.16,84,100,6.04,overcast clouds
29,Takoradi,GH,4.8845,-1.7554,77.86,84,100,10.87,overcast clouds
30,Bambous Virieux,MU,-20.3428,57.7575,73.22,78,40,9.22,scattered clouds
31,Mar Del Plata,AR,-38.0023,-57.5575,50.0,69,90,15.99,drizzle
32,Dikson,RU,73.5069,80.5464,34.25,84,40,11.54,scattered clouds
33,Jamestown,US,42.097,-79.2353,88.18,76,75,3.0,broken clouds
34,Sistranda,NO,63.7256,8.834,54.9,87,98,10.49,overcast clouds
35,Lompoc,US,34.6391,-120.4579,95.13,87,90,10.36,mist
36,Salaverry,PE,-8.2333,-78.9667,68.38,82,73,10.0,broken clouds
37,Along,IN,28.1667,94.7667,74.23,100,99,1.34,overcast clouds
38,Bardiyah,LY,31.7561,25.0865,81.84,62,0,10.4,clear sky
39,Lebu,CL,-37.6167,-73.65,51.8,46,26,2.13,scattered clouds
40,Guangyuan,CN,32.442,105.823,74.19,79,93,3.49,overcast clouds
41,Quatre Cocos,MU,-20.2078,57.7625,73.09,74,15,14.34,few clouds
42,Rawson,AR,-43.3002,-65.1023,50.68,28,64,7.99,broken clouds
43,Saint-Philippe,RE,-21.3585,55.7679,69.39,84,23,10.2,light rain
44,Samarai,PG,-10.6167,150.6667,78.69,83,90,10.96,overcast clouds
45,Sitka,US,57.0531,-135.33,62.49,72,1,5.75,clear sky
46,Thompson,CA,55.7435,-97.8558,75.36,43,40,6.91,scattered clouds
47,Neiafu,TO,-18.65,-173.9833,74.08,68,20,6.91,few clouds
48,La Victoria,VE,10.2184,-67.3302,86.63,43,5,6.06,clear sky
49,Saldanha,ZA,-33.0117,17.9442,51.85,89,100,8.25,light rain
50,Katsuura,JP,35.1333,140.3,72.19,97,100,18.07,light rain
51,Dodge City,US,37.7528,-100.0171,79.23,52,1,3.44,clear sky
52,Khani,GE,41.9563,42.9566,67.57,96,90,2.71,overcast clouds
53,Afonso Claudio,BR,-20.0742,-41.1239,64.67,49,4,4.85,clear sky
54,Bara,NG,10.3744,10.7288,77.22,79,99,9.89,overcast clouds
55,Sept-Iles,CA,50.2001,-66.3821,73.92,71,75,5.99,broken clouds
56,Bella Union,UY,-30.2752,-57.6007,47.17,62,53,12.19,broken clouds
57,Cape Town,ZA,-33.9258,18.4232,51.89,94,75,3.44,light rain
58,San Patricio,US,28.017,-97.5169,87.89,53,33,7.72,scattered clouds
59,Seoul,KR,37.5683,126.9778,71.11,91,0,4.61,clear sky
