City,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2021-06-28 15:03:54,3.0707,172.7902,81.77,78,100,13.94
1,Busselton,AU,2021-06-28 15:03:54,-33.65,115.3333,56.08,79,70,23.87
2,Shirokiy,RU,2021-06-28 15:03:55,49.758,129.523,66.33,86,49,3.83
3,Santa Cruz Del Norte,CU,2021-06-28 15:03:55,23.1539,-81.9236,84.94,70,16,11.54
4,Port Lincoln,AU,2021-06-28 15:03:55,-34.7333,135.8667,52.9,57,68,14.0
5,Punta Arenas,CL,2021-06-28 15:00:09,-53.15,-70.9167,41.11,93,100,7.05
6,Abu Dhabi,AE,2021-06-28 14:59:09,24.4667,54.3667,105.91,37,0,6.91
7,Port Alfred,ZA,2021-06-28 15:03:56,-33.5906,26.891,61.95,72,0,24.81
8,Kapaa,US,2021-06-28 15:03:56,22.0752,-159.319,79.12,74,40,10.36
9,Lata,PT,2021-06-28 15:03:57,40.1629,-8.3327,77.04,45,6,13.82
10,Tocopilla,CL,2021-06-28 15:02:36,-22.092,-70.1979,66.87,56,1,7.29
11,Mataura,NZ,2021-06-28 15:03:57,-46.1927,168.8643,41.49,74,96,7.61
12,Avarua,CK,2021-06-28 15:01:12,-21.2078,-159.775,73.81,60,100,23.85
13,Hilo,US,2021-06-28 15:00:10,19.7297,-155.09,78.28,89,78,1.99
14,Belmonte,BR,2021-06-28 15:03:58,-15.8631,-38.8828,79.3,61,49,8.88
15,Sechura,PE,2021-06-28 15:03:58,-5.5569,-80.8222,71.62,69,66,10.92
16,Casper,US,2021-06-28 15:03:59,42.8666,-106.3131,64.72,70,75,1.99
17,New Norfolk,AU,2021-06-28 15:03:59,-42.7826,147.0587,40.71,87,0,2.37
18,Yellowknife,CA,2021-06-28 15:01:02,62.456,-114.3525,70.32,52,13,5.99
19,Lamesa,US,2021-06-28 15:03:59,32.7376,-101.951,67.26,79,100,12.53
20,Esperance,AU,2021-06-28 15:04:00,-33.8667,121.9,58.19,65,0,15.39
21,Baykit,RU,2021-06-28 15:04:00,61.67,96.37,52.43,74,92,3.74
22,Ushuaia,AR,2021-06-28 15:01:46,-54.8,-68.3,40.32,97,100,3.87
23,Baker City,US,2021-06-28 15:04:01,44.7749,-117.8344,81.19,43,1,0.0
24,Ancud,CL,2021-06-28 15:04:01,-41.8697,-73.8203,42.48,82,51,7.07
25,Bredasdorp,ZA,2021-06-28 15:04:02,-34.5322,20.0403,51.28,86,100,9.55
26,Kodiak,US,2021-06-28 15:04:02,57.79,-152.4072,45.91,100,90,0.0
27,Bengkulu,ID,2021-06-28 15:04:02,-3.8004,102.2655,75.85,90,79,5.41
28,Chengzihe,CN,2021-06-28 15:04:03,45.3333,131.0667,63.77,89,21,2.57
29,Saint-Pierre,RE,2021-06-28 15:04:04,-21.3393,55.4781,73.08,78,75,4.61
30,Bluff,NZ,2021-06-28 15:04:04,-46.6,168.3333,41.81,52,69,25.19
31,Ugoofaaru,MV,2021-06-28 15:00:51,5.6667,73.0,83.16,77,43,15.35
32,Ponta Do Sol,PT,2021-06-28 15:04:05,32.6667,-17.1,78.71,67,0,0.25
33,Jamestown,US,2021-06-28 15:03:17,42.097,-79.2353,84.29,72,75,10.0
34,Arraial Do Cabo,BR,2021-06-28 15:04:06,-22.9661,-42.0278,80.46,47,0,8.05
35,Grand Gaube,MU,2021-06-28 15:04:06,-20.0064,57.6608,74.37,73,7,5.99
36,Albany,US,2021-06-28 15:04:06,42.6001,-73.9662,89.82,64,100,5.64
37,Hithadhoo,MV,2021-06-28 15:04:07,-0.6,73.0833,83.01,70,33,5.57
