City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ancud,CL,2022-01-07 07:31:45,-41.8697,-73.8203,56.73,95,1,0.25
1,Saskylakh,RU,2022-01-07 07:31:45,71.9167,114.0833,-23.19,100,100,2.73
2,Cabo San Lucas,MX,2022-01-07 07:30:58,22.8909,-109.9124,69.51,75,3,1.01
3,Cape Town,ZA,2022-01-07 07:29:42,-33.9258,18.4232,80.11,59,0,5.99
4,Daguma,PH,2022-01-07 07:31:46,6.5867,124.5472,87.33,61,73,2.53
5,Puerto Ayora,EC,2022-01-07 07:31:46,-0.7393,-90.3518,70.61,89,18,5.57
6,Bethel,US,2022-01-07 07:31:47,41.3712,-73.414,30.04,89,100,1.99
7,Ust-Tarka,RU,2022-01-07 07:31:47,55.5672,75.705,14.54,88,49,13.53
8,Vao,NC,2022-01-07 07:31:47,-22.6667,167.4833,77.11,66,11,20.09
9,Saint George,US,2022-01-07 07:30:13,37.1041,-113.5841,41.32,64,0,3.62
10,Rikitea,PF,2022-01-07 07:31:48,-23.1203,-134.9692,77.34,72,70,13.18
11,Fez,MA,2022-01-07 07:31:48,34.0372,-4.9998,39.45,93,0,8.05
12,Ushuaia,AR,2022-01-07 07:31:48,-54.8,-68.3,46.06,57,40,8.05
13,Barrow,US,2022-01-07 07:31:49,71.2906,-156.7887,-2.18,71,75,9.22
14,West Helena,US,2022-01-07 07:31:49,34.5507,-90.6418,26.6,71,93,9.51
15,Olafsvik,IS,2022-01-07 07:31:49,64.8945,-23.7142,39.96,71,100,21.47
16,Poniatowa,PL,2022-01-07 07:31:50,51.1798,22.1309,27.32,75,5,9.55
17,Denpasar,ID,2022-01-07 07:31:50,-8.65,115.2167,85.71,70,40,10.36
18,Antalaha,MG,2022-01-07 07:31:50,-14.9003,50.2788,83.34,68,92,4.97
19,San Quintin,MX,2022-01-07 07:31:51,30.4833,-115.95,57.85,75,0,2.93
20,Avera,US,2022-01-07 07:31:51,33.194,-82.5271,42.31,74,2,12.97
21,Norrtalje,SE,2022-01-07 07:31:51,59.758,18.705,15.08,88,5,3.98
22,Busselton,AU,2022-01-07 07:31:51,-33.65,115.3333,95.09,39,0,12.75
23,Tazovskiy,RU,2022-01-07 07:31:52,67.4667,78.7,-13.56,84,100,15.93
24,Najran,SA,2022-01-07 07:31:52,17.4924,44.1277,61.45,38,26,3.74
25,Qaanaaq,GL,2022-01-07 07:31:52,77.484,-69.3632,2.93,61,61,6.42
